Name,Redshift,m_1450,L_FIR(1e12solar)
J000552.34-000655.8,5.85,20.83, 3.4
J030331.40-001912.9,6.08,21.28, 3.5
J035349.76+010405.4,6.05,20.22, 3.2
J142738.59+331242.0,6.12,20.33, 4.6
J163033.90+401209.6,6.05,20.64, 4.2
J164121.64+375520.5,6.05,21.30, 3.2
J231546.36-002357.5,6.12,21.34, 4.1
J232908.28-030158.8,6.42,21.65, 3.4
SDSS J023930.24-004505.4,5.82,22.28, 3.9
CFHQS J150941.78-174926.8,6.12,19.82, 3.2
SDSS J205321.77+004706.8,5.92,21.20, 4.4
SDSS J214755.40+010755.0,5.81,21.65, 4.4
SDSS J230735.40+003149.0,5.87,21.73, 3.8
SDSS J235651.58+002333.3,6.00,21.77, 2.8
